bear					n：熊 v：支撑，承受
interchangeably			可互换地；可交替地
forgo					放弃；弃绝
course					课程；过程，进程，经过
next best				次优解
treasury					财政部
continuously				连续不断地
compound				复合的,	混合 由…构成
compounded rate 		复利
formula					公式
facilitate					促进；使便利；促使
facilitate comparison		便于比较
derived from				来源于
excess					过度；过量的；超过
sensitive					敏感的；灵敏的
vice versa				反之亦然，反过来也一样
portion					部分
budget					预算
expend					花费；支出 expenditure
durable					持久的；持久, 耐用的；耐用
constraint				限制；约束；限定；严管
explicit					明确的
implicit					不明确的，含蓄的；
diminish					减少；降低
exhibit					展览；表现，显示，显出
distinct					不同的；明显的；清晰的；清楚的；
infinitely					非常；无限地；极其
lag						滞后
outright					彻底的；完全的
lean						靠在；倾斜；倚靠；使斜靠；靠置
capacity					容量；生产量，生产能力
pronounce				明显的；显著的；表达明确的
Pledge					保证；质押；碧丽珠；典押；普莱奇
proctor					监考人员
forum					论坛；讨论会；公共讨论场所；(古罗马)公共集会场所
candidacy				候选资格；候选人的资格(或身份)
implication				可能的影响；含意；(被)牵连，牵涉；暗指
cite						引用；援引；列举；引述；
Remit					汇款；缓解；汇寄；汇付；寄送
forfeit					丧失，被没收
Consecutive				连续的；连续不断的
prominently				突出地；显著地
pursue					追求；执行；致力于；追逐；追赶
accomplish				完成
accomplishment			成就；完成；成绩；技艺；才艺；专长
hint						提示；暗示；迹象；示意；少许；少量；征兆；秘诀
broadest					广泛的；…宽(用于表示距离的量度之后)；广阔的；宽阔的；
interaction				相互影响（作用，制约，配合）；交互作用
reimburse				报销；偿还；补偿
instruct					指示；命令；通知；告知；教授，传授(技能等)；吩咐
asymmetry				不对称
information asymmetry		信息不对称
appraisal					评价；鉴定；估价；估计；工作表现评估；工作鉴定会
broad term				广义的；广义的术语
whereby					由此；由于；借以；<古>靠什么，如何；凭此；在哪方
intellectual property		知识财产
essential					基本的；本质的；必不可少的；根本的；极其重要的；完全必要的
mineral					矿物；矿物质；汽水
countercyclical			反周期；逆周期；逆周期的
umbrella					雨伞；伞；保护伞；总体；阳伞
litigation					诉讼；打官司
transmit					传输；使通过；传送；发射；传播
dispersion				分散；散布；散开
deploy					部署；调动；调度(军队或武器)；有效地利用
explicitly					明确地；明白地
ceiling					天花板；上限；顶棚；升限；最高限度；最大限量；最高飞行限度
leave out					遗漏；省略；
lift						举起；解除，撤销，停止
endowment				捐赠；天赋；捐款；资助；才能；天资
retention					保留；保持；
express					表达 明确的；
archive					把…存档；把…归档 档案；档案馆；档案室；档案文件
destroy					破坏；摧毁；毁灭；
interfere					干涉；干预；介入
prominent				显眼的，显著的，突出的；重要的；著名的，杰出的；凸现的
dictate					命令；口述；支配；决定
burdensome				负担沉重的；难以承担的；繁重的
promotional				促销的；推销的；广告宣传的
literature					文学；(某学科的)文献，著作，资料；文学作品
appreciation				欣赏；感谢；理解；感激；增值；鉴定，评价，评估；体谅；同情
eligible					有资格的；合格的
priority					优先的
pecuniary				金钱的；与钱相关的
postpone				推迟；延期；延迟；展缓
partiality					偏爱；偏袒；特别喜爱；酷爱
in kind					以实物支付；以同样的方式；以货代款；以服务偿付
despite					尽管；即使；尽管(自己)不愿意
kickback					(不合法的)回扣，酬金，佣金
validity					有效性；有效，合法性；正确；(正式的)认可；正当；符合逻辑
undermine				破坏；逐渐削)；挖…的墙脚；使逐步减少效力；从根基处破坏
disregard				不顾；漠视；不理会
circumvent				规避；绕过；绕行；设法回避；绕道旅行
vigilant					警觉的；警惕的；警戒的；谨慎
dissociate				分离；把…分开 声明不支持；否认同…有关系；表明无关
complement				补足；补充；使完美；使更具吸引力
majority					大部分，大多数，过半数，大半
bottom line				最终赢利（或亏损）要旨，基本论点，底线；
disparate					完全不同的；迥然不同的；无法比较的
validate					验证；确认；使生效；批准；证实；
intrigue					阴谋；密谋；引人入胜的复杂情节；秘密关系；神秘气氛
intriguing					有趣的；引人入胜的；神秘的
diagnostic				诊断的；判断的
alarm					警报；警报器；恐慌；惊慌；惊恐
superficial				表面的；肤浅的；表层的；浅薄的；外表的
deficiency				缺乏；缺陷；不足；缺点；缺少
breach					违反；违背；在…上打开缺口
stipulate					规定；明确要求
conjecture				猜想；推测；猜测；臆测；揣测
retrieve					检索；取回；检索数据
facility					设施；设备；(供特定用途的)场所；天资，才能，天赋
upscale					高档的；(产品或服务)高端的；面向高消费阶层的
restaurant				餐馆；餐厅
delegate					代表；会议代表
relieve					解除，减轻，缓和(不快或痛苦)；减轻(问题的严重性)；缓解；缓和
discharge				排出；释放；流出；放出
absence					缺席；缺乏；不存在；不在
ascertain					查明；弄清
wrongdoing				不法行为；坏事；作恶；欺骗行径
merely					仅仅；只不过
Assist					帮助；协助；援助；促进
Consist					包括；在于；存在于；由…组成；由…构成
mingle					使混合；(使)与…结合
hierarchy					等级制度(尤指社会或组织)；统治集团；层次体系
permissible				允许的；许可的；容许的
reminder					提醒；通知单；提示信；引起回忆的事物；提醒人的事物
Incorporate				使并入；包含；合并；注册成立；吸收；将…包括在内
pend					待决；悬而未决；吊着
pending					在等待…时期；直到…为止
in conjunction with			连同…;与…一起
prone					有做…倾向的；易于遭受…的；易于遭受；俯卧的；有做 的倾向
pitfall					陷阱；(尤指)隐患；困难；危险
firmly					坚定地；坚决地；坚固地
dept						部；处；科（department）
impress					给…留下深刻印象；使钦佩；使铭记；使意识到
Unbeknownst				未知的；不为人知的
real estate				房地产；不动产；房地产业；房地产销售业
fast-paced				快节奏的；快步调的，快节奏的
understaffed				人手不足；人员不足；人手太少
uphold					维护；支持(正义等)；维持；确认(原判、裁决等)
thoroughness				彻底性；缜密；完全；周全；彻底
pertinent					直接相关的，有关的；恰当的；相宜的
attribute					属性；特征；性质
Rigor					严格 严谨性
sound					声音 可靠的；完备的，全面的；
suspect					可疑的；不可信的；靠不住的；可能有危险
inherent					固有的；内在的
orient					朝向；适应；使适应；面对
exhibit					展览；表现，显示，显出(感情、品质或能力)；展出
progression				进展；(进入另一阶段的)发展；进程；前进；系列；连续；序列
consensus				共识；一致的意见
substantiate				证实；证明
convince					使相信；说服，劝说(某人做某事)；使确信；使信服
confidential				保密的；机密的；秘密的；受信任的；隐密的
treasury					财政部；(城堡等中的)金银财宝库，宝库
treasure					财富；珍宝；宝物；珍品；珠宝
treasurer					司库；财务主管；(俱乐部或组织的)会计；出纳
reveal					揭示；显示；透露；展示；露出；显出
divulge					泄露；透露(秘密)
embezzle				盗用，挪用，贪污，侵吞(款项)
Accidental				意外的；偶然；偶然的；临时记号
deprive					剥夺；使丧失；使不能享有
refrain					避免；克制；抑制；节制
abstain                 	弃权；戒；回避　；戒除；离开
devise                 	设计；发明；想出
Incentive                	激励，鼓励，奖励；刺激；诱因，动机
preclude                	排除；妨碍；阻止；使行不通
consent                 	同意；允许；准许；赞同；批文；正式批准文件
Appropriate            	适当的；合适的；恰当的 拨(专款等)；挪用；占用；盗用；侵吞
Misappropriation         	挪用；滥用
Memorizing             	记忆；熟记；识记；记诵
Misuse                 	滥用；误用；不当使用；使用不当；非法操作
cessation             	停止；终止；中断；暂停
Depart                	离开；出发；离职；离去；起程
Departure            		离开；出发；背离；违反；起程
Erase                	擦除；清除；消除；抹去，清洗
on behalf of      	      	代表；代表某人，作为某人的代言人；为了某人的利益，为了某人
protocol                 	协议；议定书；
recruit                	招募；征募(新兵)；(通过招募)组成；吸收
Contradict            	反驳；相矛盾；相抵触；相反；驳斥；批驳
Instruct                	指导；指示；命令；通知；告知；委托
Instruction            	用法说明；指示；命令；教授；操作指南；
Contractor            	承包商；承包人；承包公司
applicability             	适用范围；适用性，相关性；可贴（合）性
Incident                	发生的事情 摩擦，冲突；严重事件
ponder					思考；考虑；沉思；琢磨
draft						草稿；草案；汇票；草图；穿堂风
eligible					有资格的；合格的
proposal					建议；提议；动议；求婚
mayor					市长 镇长；郡长
detract					贬低；减损；诋毁
frustrate					使沮丧；挫败；阻止；使懊恼；防止；使懊丧
headhunter				猎头
gladly					高兴地；乐意地；欣然地；情愿地；感激地
commentary				评注；评论；解释；注释；批评；
counterpoint				用…作对比；与…形成对比
disagree					不同意；不一致；有分歧；持不同意见；不符
breach					违反；违背；在…上打开缺口
testify					(尤指出庭)作证；证明；证实；见证(上帝的存在)
testimony				证词；证据；证明；证言；口供
witness					证人；见证；目击者；见证人；连署人
impartial					公正的；不偏不倚的；中立的
actualize					使发生；实现
Venture					风险投资；投机者
clause					条款；子句；从句；分句
discriminate				区分，辨别；歧视；区别对待
disseminate				传播；散布(信息、知识等)
criterion					标准；(评判或作决定的)准则；原则
advise					建议；通知；提供咨询；提出建议；劝告；忠告；出主意；
in light of 				鉴于；按照，根据
prorated					按比例分配的；按比例分配
impartial					公正的；不偏不倚的；中立的
prospective				潜在的；可能的；预期的；有望的；即将发生的；行将来临的
detriment				损害；伤害；造成伤害(或损害)的事物
privy					准许知情；可参与秘事
detect					发现；查明；侦察出
extensive				广泛的；大量的；广阔的；广大的；广博的
in priority of				优先于
partial					部分的，不完全的；
round-lot					整手
odd-lot					零星交易；零星散股；零担货物
entrust					委托；托付；交托
commingle				混合；混杂；掺和
commingled				混合的；混同；混同的
practicable				可行的；行得通的
solar					太阳的；太阳能的
compact					紧凑的；小型的；紧密的；体积小的
revolutionize				革命；彻底改变；完全变革
excitement				兴奋；激动；刺激；令人激动(或兴奋)的事
routinely					常规地；例行地；惯常地；通常地；毫不意外地
assess					评估；评定(性质、质量)；估算；估定(数量、价值)
repeat					重复；复述，跟读
refrain					避免；克制；抑制；节制
inherit					继承(金钱、财产等)；继任；接替(责任等)
conservative				保守的；(英国)保守党的；守旧的；低于实际数量的
risk averse				风险规避；风险厌恶；厌恶风险；风险回避；不愿承担风险
recruit					招募；征募(新兵)；(通过招募)组成；吸收
arbitrarily					任意地；任意(性)地，随意地；
arbitrage					套利；套汇；套购
boost					促进；使增长；使兴旺；偷窃
confidentiality				保密性；机密性
devise					设计；发明；想出
outlet					出口；出路；经销店；专营店；表现机会；折扣品经销店
pessimistic				悲观的；悲观主义的
extensively				广泛地；广大地
speculation				投机；猜测；推测；推断；投机买卖；炒股
rumor					谣言
lumber					木材；废旧家具；不用的大件物品
guise					伪装；外表；表现形式；外貌
campaign				运动；战役
demonstrate				证明；演示；示范；论证；表现；说明；证实；表达；表露；
substantial				大量的；重大的；牢固的；结实的；价值巨大的；大而坚固的
enemy					敌人；敌军；敌国；仇人；大敌；敌兵；反对者；危害物
desired					期望得到的；希望实现的
prudent					谨慎的，慎重的；仔细的，小心的；精明的；节俭的, 善于经营的
Fiduciary					受托人；信用；信托人；财产受托人
accordance				符合；一致；给予；赋予；和谐
judicious					明智的；有见地的；明断的
render					提供；使成为；使变得；提交；给予
outset					开始；开端 ；起始
disregard				漠视；不顾；不理会
surpass					超过；超越；优于；胜过
endeavor					努力；尽力；试图
disparity					差距；(尤指因不公正对待引起的)不同，不等，差异，悬殊
detect					发现；查明；侦察出
blindly					盲目地；在黑暗中；不加思考地；摸黑地
routine					常规的；日常的；正常的；例行公事的
Diversify					使多样化；多样化；多元化；分散投资；分散化
debit					借方；借记；借项；收方
custody					监护；拘留；羁押；保管；监护权；拘押；保管权
contrary					相反的，相对立的；
trustee					(慈善事业或其他机构的)受托人
fiduciary	duty				诚信义务；受托责任
beneficiary				受益人；受益者；受惠人；遗产继承人
privilege					特权；荣幸；荣耀；
principal               主要的；最重要的 本金；当事人，委托人；资本；主角；学院院长；大学校长；主要演员
appointment				约会；委任；预约；任命；职位；职务；约定
disappointment			失望；沮丧；扫兴；使人失望的人(或事物)；令人扫兴的人
distort					使失真；扭曲；使变形；歪曲；曲解
artificially					人为地；人工（造，为）地；不自然地
dump					倾倒；（内存信息）转储，转存；(向国外)倾销；抛弃；抛售
legitimate				合法的；法定的；合情合理的；正当合理的；合法婚姻所生的；
purportedly				据称；据传
dramatically				显著地；戏剧性地；戏剧地
tender					投标；提供；提出；提议
joint						联合的；共同的 接头；关节；接合处
venture					企业，商业，投机活动，经营项目
patent					专利权；专利证书
trademark				商标；(人的行为或衣着的)特征，标记
Substance				物质；实质；根据；物品；东西；重要性；主旨；要点
trial						试验，试用；(法院的)审讯，审理，审判；选拔赛；预赛
conjecture				猜想；推测；猜测；臆测；揣测
alert						警惕的；警觉的；戒备的；注意到；意识到
filings					备案；(尤指金属的)锉屑，切末；(法庭)讼案
legitimately				合法地；正当地，合理地
Presumably				大概；想必；大概,推测起来
misuse					滥用；误用；盗用
promptly					立即；迅速；马上；及时地；准时地
clearance				间隙；清除；清理；许可，准许；净空
Substantial				大量的；重大的；牢固的；结实的；价值巨大的；大而坚固的
rumor					谣言
Ideally					理想的；理想情况下；理想地；理想的情况下；理想情况
trigger					触发器；(枪的)扳机 起因，诱因；引爆器
passive					被动的；消极的；(动词形式)被动语态的
contra					相反；对立面；对销；抵销；对方（尤指贷方）
unsolicited				未被要求的；未经要求的；自我推荐的；自发的
solicit					恳求；征求；招徕(嫖客)；筹集；拉(客)；索求，请求…给予
withdrawal				撤回；（对说过的话的）收回，撤回；退出(组织)；收回
in conjunction with			连同…;与…一起
president					总统；会长，院长，主席；总裁；董事长；总经理；银行行长
forthcoming				即将到来的；即将发生
strike					罢工；（有损声誉的）不利因素，打击；袭击；(尤指)空袭
cripple					使残废；使跛；严重毁坏(或损害)；使成瘸子
takeover					收购；接管；接收
imminent					迫在眉睫的；即将发生的；临近的
furniture					家具
unattractive				不吸引人的，丑陋的，难看的，不悦目的
restructure				重组；改组；重建；调整结构
stance					立场；态度；(公开表明的)观点
negotiation				谈判；协商；磋商
renegotiation				重新谈判；再谈判；再协商；重协商
journalist					新闻记者；新闻工作者
excellent					极好的；杰出的；非凡的；(用以表示愉快或赞同)好极了，妙极了
excited					兴奋的；激动的；性兴奋的；受刺激的；紧张不安的
therapy					治疗；疗法
semiconductor			半导体；半导体装置
preliminary				预备性的, 初步的, 开始的
appropriate				适当的；合适的；恰当的
volatile					不稳定的；<计>易失的；易挥发的，易发散的
tempt					诱惑；引诱；怂恿；利诱；劝诱；鼓动
entice					引诱；诱使
assist					帮助；协助；援助；促进
interactive				交互的，人机对话的；互动的，互相交流的
anonymity				匿名；不知姓名；无个性特征；无特色；名字不公开
Plagiarism				剽窃；抄袭；学术剽窃；论文抄袭
derive					得到；获得；(使)产生；取得；(使)起源
verbatim					逐字的/地；一字不差的/地
cite						引用；援引；列举；引述；举出(示例)；提及(原因)；传唤；
caveat					警告；告诫
compilation				汇编；编写；收集；编纂；编著；选编；选辑
sift						筛；挑选，精选；细查，探究；细查，详审；区分；撒布
correspondence			来往信件；通信；相似；通信联系；相关；往来书信
precaution				预防；预防措施；防备；避孕措施
exaggerate				夸大；夸张；言过其实
intrigued by 				好奇 感兴趣的 很感兴趣
imply					意味着；暗示；表明；说明；暗指；使有必要；必然包含
mention					提到；说到；写到
quite					相当；非常；十分；完全；颇；的确；对
liberal					自由的；自由党的；开明的；
deceit					欺骗；欺诈(行为)；诡计
offense					冒犯；攻势；(球队的)前锋，锋线队员；进攻方法
abuse					滥用；虐待；辱骂；恶语；妄用
dispute					争论；争执；辩论；竞争；争夺；
detrimental				有害的，不利的
fulfill						完成；达到；起到；做到：；完成，实现；兑现：
Disseminate				传播；散布；宣导
sanction					实施制裁；惩罚；许可；准许；准予
eligible					有资格的；合格的；
deliberately				故意；蓄意；存心；从容不迫地；不慌不忙地；小心翼翼地
surcharge				额外费用；附加费；增收费
arrest					逮捕；拘留；阻止；吸引(注意)；中止
protest					抗议；反对；抗议书(或行动)
nonviolent				非暴力的，不诉诸武力的
trespass					非法侵入；擅自进入(他人的土地或建筑物)；做错事
accuse					控告；谴责；控诉
Neglecting				忽略；见死不救
possess					具有(特质)；拥有；有；控制；支配；攫住；使言行失常
induce					引起；导致；诱使；引产；劝说；催生
erode					侵蚀；削弱；腐蚀；损害；风化；逐渐毁坏
rig						操纵；(秘密地)安装；(以不正当的手段)控制；装配
in favor of				赞成；支持；有利于；以…为受款人
disseminate				传播；散布(信息、知识等)
scrutiny					仔细检查；认真彻底的审查
improper					不正确的；不正当的；不适当的；错误的；不合适的
retaliatory				报复性的;反击的
reprisal					报复；报复行动
entertainment				娱乐；招待；娱乐活动；款待；文娱节目；娱乐片；表演会
custodians				监护人；保管人；看守人
merit					优点；价值；功绩；长处
remuneration				报酬；酬金；薪水
reveal					揭示；显示；透露；展示；露出；显出
stray					偏离；迷路；走失；走神
undue					过度的；不适当的；过分的
sponsor					赞助商；（法案等的）倡议者，发起人，倡导者
Procurement				采购；(尤指为政府或机构)购买
donation					捐赠；赠送；捐赠物
charity					慈善；慈善机构
fraught					充满的, 伴随着的；<口> 忧虑的，忧伤的
thorough					彻底的，充分的，全面的；深入的
exclusively				唯一地；排他地；专有地；完全地；独占地
factual					事实的；真实的；根据事实的
reimburse				报销；偿还；补偿
prompt					迅速的；及时的；立即；准时的；敏捷的
hesitate					(对某事)犹豫，迟疑不决；疑虑；顾虑
revoke					撤销；取消；废除；使无效
constraint				限制；约束；限定；严管
substantial				大量的；重大的；牢固的；结实的；价值巨大的；大而坚固的
prove					证明，证实；证明是，被发现是，显示
entice					引诱；诱使
subprime					(贷款)次级的
mortgage				抵押贷款；按揭
insist					坚持；坚持说；坚决要求；固执己见
scenario					方案；设想；预测；脚本；(电影或戏剧的)剧情梗概
dire						危急的；极其严重的；极差的；极糟的
collapse					崩溃；(突然的)倒塌；塌陷；垮掉
alignment				对齐；(国家、团体间的)结盟；排成直线
routinely					常规地；例行地；惯常地；通常地；毫不意外地
composite				复合的；合成的；混成的；混合成的
despite					尽管；即使；尽管(自己)不愿意
division					机构的）部门；(分出来的)部分；师；分配；分歧；级
impression				印象；影响；效果；压痕
oral						口头的；口服的；口腔的；用口的；口腔发声的
brochure					小册子；资料(或广告)手册
disseminate				传播；散布(信息、知识等)
Guarantee				保证；担保；保证金；保修单
inherently				固有的
hearing panel				听证小组
inquiry					调查，查问；查询；询问
Disciplinary				有关纪律的；规律的；纪律性
complaint				抱怨；投诉；不满；控告；
proctor					监考人员
complainant				申诉人；原告
sanction					实施制裁；惩罚；许可；准许；准予
cautionary				警告的；告诫的；劝告的
censure					责难；(公开地)严厉斥责，谴责
revocation				撤销，废除
draft						起草；草拟；抽调；选派
viability					可行性；活力；生存能力；生命力；寿命；服务期限；耐用性
independent				独立的；自主的；公正的；自治的
Suspect					怀疑(某人有罪)；疑有，觉得
Consult					咨询；查阅；查询；
absolve					赦免；赦免…的罪；宣告…无罪；判定…无责
construe					解释；理解，领会；推断；翻译
Inaction					不作为；无所作为；无为；无为而治
assistance				帮助；援助；支持
association				关联；协会；联系；联盟；联合；联想
abide					遵守；(abide by)接受，遵照（规则，决定，劝告）；逗留，停留
informed					见多识广的；有见识的；有学问的
cease					停止；(使)终止；结束
dilemma					困境；(进退两难的)窘境
conceal					隐藏；隐瞒；掩盖
prevent					防止；阻止；阻碍；阻挠
allege					断言，指称，声称；宣称
Pertinent					相关的；有关的；中肯；中肯的
protocol					协议；议定书；(协议或条约的)附件
omit						省略；忽略；遗漏；删除；漏掉；不做；未能做
composite				复合的；合成的；混成的；混合成的
promotional				促销的；推销的；广告宣传的
erroneous				错误的
solicit					恳求；征求；招徕(嫖客)；筹集；拉(客)；索求，请求…给予
remedy					纠正；改进；改正
resignation				辞职；辞呈；辞职信；顺从；听任
expression     			表达；表示；表情；表达方式；词语；措辞；表露；神色
proactive					积极主动的；先发制人的；主动出击的
pertain					适用；存在
abide					遵守；(abide by)接受，遵照（规则，决定，劝告）；逗留，停留
compromise				妥协；折中；和解；达成妥协(或和解)；妥协(或折中)方案；互让
lavish					奢华；大量的；慷慨的；大方的；耗资巨大的；给人印象深刻的
notification				通知；通告；告示
brokerage				经纪业务；经纪人佣金(或回扣)
predominantly			主要地；多数情况下
incidental				次要的；附带发生的；伴随而来的；非有意的；免不了的；
prospectus				招股章程， 募股章程；(学校的)简章，简介；介绍说明文件
immediate				立即的；立刻的；直系的，直接的；
identical					完全相同的；相同的；同一的；完全同样的
gamble					赌博；冒险；打赌
collateralize				抵押；以…作抵押
convenience				方便；便利；适宜；方便的用具；便利的事物(或设施)
Replenish				补充 补货 充盈
pledge					抵押品 保证；抵押；誓言；诺言
intraday					日内
plain					素的；简单的；朴素的；明显的
constitute				构成；组成
clarify					澄清；阐明；
occupational				职业的
underpin					加强，巩固，构成(…的基础等)；加固(墙)基
uphold					维护；支持(正义等)；维持；确认(原判、裁决等)
mission					使命；任务，旅行；代表团；使团；军事行动
practitioner				从业人员；专门人才；习艺者
facilitation				促进；便利；容易；简化；助长；易化作用
ultimately				最终；最后；根本上；终归；最基本地
affair					事件；事情；公共事务；政治事务
diligence					勤奋；勤勉；用功
